source,target,length
213,214,7.16
213,259,8.41
214,236,6.66
215,231,3.41
216,224,6.41
216,256,11.3
216,250,10.41
218,225,8.34
218,253,7.24
219,243,4.0
220,221,6.24
220,249,4.47
221,264,12.26
222,258,10.83
222,223,8.61
223,266,9.12
224,246,11.43
224,250,5.24
225,247,6.51
226,242,11.34
226,277,11.67
228,229,10.61
228,265,7.0
229,229,6.0
229,258,10.45
230,238,5.24
230,245,13.6
230,268,7.3
231,246,11.41
231,255,6.99
232,232,8.0
232,262,12.34
232,270,8.48
234,263,12.64
234,274,9.65
235,235,4.0
235,266,23.47
236,237,8.16
236,271,10.48
236,294,14.36
237,275,8.32
238,268,7.24
239,247,4.83
239,254,10.37
239,276,7.58
240,254,10.06
241,241,4.47
241,242,10.29
241,270,10.24
241,281,9.95
242,281,12.55
243,244,6.0
243,257,5.06
244,249,9.41
244,279,9.3
245,245,11.31
245,313,12.33
246,255,10.16
246,269,9.0
246,246,14.42
246,302,11.07
246,291,22.9
247,253,7.29
247,287,9.05
247,276,6.71
248,262,6.16
248,252,14.06
249,264,12.3
250,269,4.24
251,254,10.32
251,261,4.47
252,252,2.0
252,262,7.02
253,287,7.06
254,276,7.58
254,261,9.91
254,311,13.36
254,320,9.4
254,325,9.85
255,260,6.0
255,291,5.99
256,272,5.4
256,256,4.47
256,286,8.16
257,282,6.89
257,279,6.48
258,258,4.0
258,266,14.89
258,265,25.15
259,259,2.0
259,271,5.83
260,291,7.41
261,261,4.0
262,321,15.6
262,311,13.85
263,315,11.66
263,292,14.95
264,265,13.65
264,283,10.16
264,264,8.25
268,295,6.89
268,296,8.66
269,272,5.0
269,297,6.47
270,304,8.06
271,294,16.43
272,286,10.32
274,288,6.41
274,316,9.66
275,301,6.06
275,295,7.83
276,310,5.0
277,306,9.61
277,305,9.07
278,288,7.89
278,278,4.0
278,282,20.07
279,282,10.24
279,283,14.63
281,326,21.58
281,332,13.07
281,281,4.47
281,305,11.69
283,283,5.66
286,286,8.49
286,297,9.0
286,303,8.41
286,344,12.06
286,345,13.47
287,303,9.77
287,314,6.06
288,307,5.0
292,315,8.08
292,348,8.84
294,301,5.0
294,294,6.0
295,318,7.06
295,301,13.78
296,318,7.89
296,319,4.83
297,302,8.66
302,353,8.07
302,362,10.26
303,334,13.8
304,304,2.0
304,322,4.83
305,327,4.83
306,306,6.32
306,327,7.0
306,364,27.9
307,323,7.02
307,328,4.41
310,314,7.41
310,325,5.24
311,335,6.24
313,319,5.58
313,313,4.47
314,334,10.81
