index,x,y,degree
512,172,176,3
513,249,176,3
514,176,178,3
515,217,177,3
516,351,177,3
517,107,179,3
519,162,178,3
520,208,182,6
521,238,180,3
523,342,179,3
524,397,182,7
525,116,185,7
526,222,182,7
527,333,181,3
528,388,181,5
529,143,182,4
530,177,182,4
531,128,185,5
532,133,182,3
534,162,184,4
535,309,182,4
536,318,183,4
537,356,183,3
538,291,184,6
539,340,184,3
540,404,183,4
541,100,186,4
543,181,184,3
544,281,189,6
545,300,184,3
546,380,186,3
547,388,184,3
549,361,185,3
550,408,186,3
552,193,189,4
553,274,187,4
554,138,193,8
555,145,188,4
556,182,188,3
558,267,187,3
560,388,188,4
561,163,189,3
563,106,191,4
564,252,191,5
565,259,189,3
567,379,190,3
568,412,192,5
569,189,190,3
570,273,192,4
571,296,191,4
572,158,191,3
573,165,194,5
574,242,193,5
575,289,193,4
576,359,192,3
577,128,193,3
579,355,192,3
580,387,192,3
581,403,194,3
582,187,194,3
583,225,194,3
584,234,194,3
585,265,195,3
586,354,194,3
588,372,197,4
589,418,200,6
590,157,198,4
591,282,198,4
592,298,197,4
594,342,198,4
595,388,198,5
596,101,202,4
597,109,198,3
598,174,197,4
599,196,197,3
600,204,197,3
601,213,197,3
603,274,198,3
604,290,199,3
605,348,198,3
606,408,200,4
607,192,199,3
611,365,201,4
612,233,201,3
614,144,201,3
616,334,202,3
617,179,203,3
618,251,202,3
619,270,203,4
620,280,202,4
621,362,202,3
622,136,206,6
623,205,204,4
624,210,204,3
625,426,205,3
627,187,204,3
628,275,204,3
629,326,205,3
630,359,205,3
631,113,206,3
632,125,206,6
633,383,208,4
634,409,210,5
635,172,208,4
636,189,212,6
637,339,206,3
638,391,207,3
639,101,209,3
640,157,208,3
641,211,208,3
642,322,208,3
643,355,207,3
644,118,208,3
645,150,210,4
646,163,208,4
647,267,211,6
648,368,208,3
649,232,210,3
650,329,209,3
651,95,211,4
652,144,211,3
653,250,211,5
654,422,210,4
655,429,213,4
657,256,211,3
658,104,215,5
659,175,212,4
660,218,212,3
661,225,214,4
662,260,214,3
663,329,215,5
664,333,212,3
665,346,217,4
666,365,212,3
667,141,214,4
668,310,215,4
669,378,214,4
670,419,213,3
671,127,215,4
672,237,214,3
673,255,217,6
674,118,218,4
675,218,216,3
676,362,217,5
677,434,217,3
678,150,218,4
680,175,218,3
681,183,220,3
682,203,218,3
683,285,217,4
684,392,218,3
685,428,222,5
686,224,218,3
687,233,218,3
688,240,218,4
689,384,219,3
691,112,219,3
692,259,222,7
693,273,220,4
695,305,219,3
696,388,219,3
697,415,223,6
698,133,220,3
699,146,220,3
700,354,221,3
703,99,222,5
704,105,224,6
705,174,222,3
706,188,222,3
707,208,221,3
710,336,222,4
713,169,222,3
714,192,226,5
715,238,225,6
716,277,224,5
717,436,223,3
718,112,224,3
719,292,223,3
721,132,225,5
722,200,224,3
723,224,226,5
724,378,224,3
725,118,226,3
726,170,226,4
727,174,225,3
728,210,227,5
729,388,226,3
732,146,227,3
733,161,226,4
734,246,227,4
736,378,226,3
737,255,228,3
738,262,228,3
739,344,227,3
740,433,227,3
745,202,228,3
746,228,228,3
747,251,228,3
748,331,229,3
749,335,230,4
751,382,228,3
752,394,228,3
753,407,228,4
756,136,229,3
757,309,232,5
758,316,231,3
759,421,231,3
760,435,235,7
761,95,233,6
762,156,232,4
763,230,232,4
764,257,231,4
765,270,234,5
766,354,233,5
768,264,231,3
769,289,232,3
770,392,232,3
773,186,235,3
774,237,232,3
775,279,232,3
776,414,237,7
779,129,234,6
780,142,238,8
781,199,236,7
787,103,234,3
788,179,238,5
789,246,234,3
790,263,236,4
791,373,236,3
792,384,234,3
793,227,238,4
794,280,236,4
795,295,236,5
796,305,235,3
797,347,235,3
799,91,239,3
800,117,236,3
801,165,237,3
802,190,239,4
803,209,240,7
804,380,237,5
805,106,237,3
806,251,238,3
807,322,237,3
808,328,240,4
809,426,239,3
812,237,240,5
813,245,239,5
815,114,242,5
816,393,241,5
817,153,243,6
818,371,242,6
819,381,242,4
820,418,241,3
821,195,242,3
822,320,243,6
823,333,242,3
824,351,243,3
825,100,244,4
826,174,247,3
827,310,246,6
828,356,243,3
829,427,244,3
830,446,245,5
831,106,245,3
832,180,246,4
833,411,247,5
834,432,246,4
835,439,248,5
836,148,248,3
837,329,247,4
838,347,245,3
839,367,246,4
841,113,248,5
842,156,247,3
843,163,247,4
844,288,247,4
845,293,246,3
846,317,254,7
847,339,247,4
848,135,247,3
849,194,248,5
850,302,247,3
852,94,249,5
853,447,249,3
854,141,251,4
856,370,249,3
859,303,252,5
861,287,255,4
862,344,251,3
863,416,252,4
864,452,252,3
867,152,255,5
868,230,253,3
869,238,252,3
870,243,254,4
872,297,252,3
873,330,253,3
874,335,253,3
875,371,254,4
876,378,254,5
877,422,253,3
879,350,255,6
880,433,257,3
881,444,255,5
882,113,256,3
883,220,255,3
884,160,258,4
885,213,256,4
886,280,256,3
887,207,257,5
888,236,257,3
889,297,257,3
890,399,258,4
891,423,257,3
892,106,259,6
893,232,257,3
895,301,258,3
896,338,258,4
897,410,258,5
898,438,262,5
899,285,260,3
900,343,258,3
904,138,262,4
905,188,259,3
906,330,260,4
907,150,263,6
908,173,261,3
909,221,261,4
910,237,262,5
911,274,260,3
912,316,260,4
913,454,267,5
914,94,263,3
915,179,261,3
916,206,265,3
918,244,262,3
919,109,263,3
920,116,266,5
922,232,263,4
923,338,264,4
924,343,263,3
927,396,269,8
928,417,262,3
929,446,266,6
932,163,264,6
933,347,265,4
934,403,264,4
935,129,266,7
936,321,265,3
937,330,265,3
938,369,265,3
939,181,266,3
940,225,265,3
941,269,266,3
942,362,266,4
943,106,267,4
944,169,266,3
945,186,266,3
946,285,267,3
947,417,267,3
949,234,269,5
950,260,267,4
951,264,267,3
952,281,267,3
953,380,268,3
954,413,267,3
955,307,268,3
956,328,268,3
958,122,269,3
960,224,272,5
961,341,272,4
962,357,271,3
963,373,273,8
964,431,269,3
967,364,271,4
968,385,270,3
969,416,272,4
972,113,275,8
973,138,272,3
974,181,272,3
975,186,273,4
976,256,275,6
977,274,273,3
978,330,274,4
980,134,272,3
982,144,277,5
983,164,274,3
984,168,274,3
985,264,275,3
987,360,273,3
988,131,274,3
989,319,278,7
990,436,276,5
991,444,275,4
992,363,278,5
993,427,275,3
994,130,276,4
996,205,277,3
998,265,284,6
999,456,279,3
1000,122,280,4
1002,220,280,6
1004,103,278,3
1005,183,279,4
1006,343,280,5
1007,92,282,4
1009,174,280,3
1010,282,281,3
1011,307,280,3
1012,356,280,3
1013,373,281,5
1014,445,280,6
1015,460,280,3
1019,292,285,6
1020,329,281,3
1021,440,280,3
1022,465,283,4
1024,103,284,6
1026,178,282,4
1027,209,281,3
1028,213,281,3
1029,389,285,6
1030,398,284,4
1032,142,284,4
1033,190,285,6
1034,301,282,3
1035,313,283,3
1037,228,283,4
1038,242,287,5
1040,451,290,7
1041,114,285,3
1043,165,286,7
1044,199,293,9
1045,367,284,3
1046,214,285,3
1047,331,286,3
1048,343,285,3
1049,403,288,4
1050,108,287,4
1052,316,289,6
1053,338,286,3
1054,180,287,3
1055,228,288,3
1057,417,289,3
1058,148,290,4
1059,279,289,3
1060,366,289,3
1061,395,288,3
1063,439,289,3
1064,117,290,4
1065,142,289,3
1067,236,291,5
1069,433,289,5
1070,305,296,5
1071,93,292,3
1073,121,294,6
1074,252,291,4
1075,258,291,3
1076,330,292,4
1077,336,292,3
1078,341,294,4
1079,369,291,3
1081,444,292,4
1082,471,292,3
1083,85,295,3
1084,137,293,5
1085,152,292,3
1087,228,293,4
1088,363,292,3
1089,378,294,3
1090,428,294,3
1091,96,295,3
1093,351,295,6
1094,372,294,4
1095,415,296,5
1096,435,294,3
1097,466,300,8
1098,170,294,4
1100,367,295,4
1101,407,296,3
1102,423,295,3
1103,439,295,4
1104,142,296,3
1105,210,296,5
1106,258,296,3
1107,288,295,3
1109,110,297,3
1110,128,296,3
1111,246,297,4
1112,292,298,5
1113,328,297,5
1114,359,298,3
1115,454,299,6
1116,470,297,3
1117,117,297,3
1118,138,297,3
1119,149,298,4
1121,236,299,4
1122,431,297,3
1123,229,300,5
1124,242,298,3
1125,443,300,4
1126,461,298,3
1128,169,300,3
1129,179,300,3
1130,219,302,5
1131,365,302,4
1132,375,300,3
1133,382,301,4
1135,318,300,4
1136,348,300,4
1137,435,305,6
1138,137,303,6
1139,143,302,3
1140,211,302,3
1141,248,302,5
1142,258,302,3
1143,404,302,3
1144,459,302,3
1146,234,303,3
1147,303,303,3
1148,313,303,4
1149,336,302,3
1151,103,305,6
1152,129,304,6
1153,286,304,4
1154,325,304,4
1155,414,306,6
1157,122,306,7
1158,272,304,4
1160,375,305,3
1161,380,306,4
1162,443,305,3
1163,254,311,7
1164,288,309,6
1165,298,308,4
1167,235,307,3
1168,240,308,4
1169,268,306,4
1170,137,309,5
1171,199,308,4
1172,231,307,3
1173,317,308,3
1175,89,313,4
1176,184,308,3
1177,188,308,3
1178,311,312,8
1179,395,309,3
1180,444,308,3
1181,456,312,7
1182,471,310,4
1183,167,310,5
1184,176,309,3
1185,427,311,7
1186,118,312,3
1187,218,313,4
1188,229,311,4
1190,108,312,3
1191,112,312,4
1192,156,312,3
1193,185,313,3
1194,203,312,3
1195,132,313,3
1196,139,312,3
1197,238,313,3
1198,245,314,5
1199,403,312,3
1200,144,314,4
1201,212,313,3
1202,223,314,3
1203,234,313,3
1206,99,314,3
1207,128,314,3
1210,268,316,3
1211,370,314,4
1213,439,316,4
1215,206,315,3
1216,332,315,4
1217,365,315,3
1218,381,316,3
1219,94,323,7
1220,104,317,3
1221,123,318,4
1223,296,317,5
1224,324,317,5
1225,386,318,6
1227,228,319,6
1228,353,321,5
1229,416,317,3
1231,208,320,6
1232,301,320,4
1233,445,321,5
1235,427,320,3
1236,112,321,4
1237,119,320,4
1238,166,320,4
1239,199,320,4
1240,234,321,3
1241,391,320,4
1242,405,321,4
1243,459,321,4
1244,213,322,3
1245,221,322,3
1246,284,326,6
1247,107,322,3
1249,253,326,6
1250,328,323,5
1251,367,322,3
1252,378,322,3
1253,196,324,3
1254,235,324,3
1255,424,326,3
1257,191,325,5
1258,227,325,3
1259,322,324,4
1260,391,327,4
1261,416,326,3
1262,459,326,6
1263,242,327,4
1264,104,327,3
1265,139,327,3
1268,204,326,3
1269,301,328,6
1270,442,327,5
1271,402,331,5
1272,86,329,3
1273,319,329,4
1274,465,332,5
1277,266,330,4
1278,280,331,4
1279,369,330,3
1280,427,333,7
1281,445,330,3
1282,148,330,4
1283,161,334,4
1284,372,330,3
1285,396,332,3
1286,436,330,3
1287,456,330,3
1288,108,332,3
1289,183,332,3
1290,202,332,4
1291,118,334,6
1293,376,332,4
1294,90,334,4
1296,251,334,5
1297,296,334,5
1298,311,336,7
1300,440,336,5
1301,456,334,3
1302,81,335,3
1303,198,335,3
1304,210,336,3
1305,222,337,7
1306,242,336,4
1307,262,336,4
1308,288,340,5
1309,320,335,3
1311,417,335,3
1312,76,335,3
1313,273,335,3
1314,338,335,3
1316,128,337,3
1317,190,340,6
1318,322,338,5
1320,457,337,3
1322,95,338,4
1323,107,339,3
1324,146,340,6
1325,176,339,3
1326,300,339,4
1328,371,338,3
1329,382,341,3
1331,424,339,4
1332,428,339,3
1334,167,340,3
1335,274,343,5
1337,115,340,3
1338,129,341,3
1339,138,341,4
1340,211,341,4
1341,259,341,4
1343,455,342,7
1345,172,341,3
1346,116,343,4
1347,221,344,6
1348,228,342,5
1349,333,345,4
1351,414,345,4
1352,436,345,4
1353,100,348,6
1355,300,344,3
1356,311,344,3
1357,361,344,3
1358,386,343,3
1359,408,344,3
1360,422,344,4
1361,91,344,4
1362,156,344,3
1363,168,345,3
1364,203,346,5
1366,460,345,3
1368,371,346,3
1369,111,346,3
1370,158,347,4
1371,312,353,10
1372,396,347,4
1373,181,355,10
1374,300,348,3
1375,339,348,3
1376,363,348,3
1377,403,347,3
1378,426,347,3
1381,118,349,4
1382,145,348,3
1383,230,350,3
1384,236,350,5
1385,255,350,5
1386,269,352,5
1387,357,348,4
1388,386,349,3
1389,445,351,7
1390,205,349,3
1391,378,351,5
1392,129,352,3
1393,219,351,4
1394,243,352,5
1395,280,351,3
1396,459,352,4
1397,248,352,3
1398,330,353,7
1399,348,352,4
1400,159,353,3
1401,395,353,4
1402,424,355,5
1405,114,354,4
1407,362,353,3
1408,385,354,3
1409,402,353,3
1410,433,357,7
1411,99,355,3
1413,233,355,3
1414,236,356,4
1415,274,361,7
1416,286,354,3
1417,297,357,6
1418,152,356,4
1419,220,356,3
1420,226,360,5
1421,388,355,3
1423,416,356,4
1424,451,356,3
1425,149,356,3
1426,204,357,4
1427,254,356,3
1428,340,359,6
1430,442,358,3
1432,102,359,3
1433,110,359,4
1434,127,359,3
1435,163,357,3
1436,230,357,3
1438,405,358,4
1439,86,359,3
1440,95,359,4
1441,122,358,3
1442,191,359,3
1444,361,360,3
1445,396,359,3
1446,196,359,3
1447,322,360,3
1448,353,361,4
1449,90,360,3
1450,146,362,5
1451,163,362,4
1452,212,361,5
1453,233,360,3
1454,424,362,3
1456,347,362,3
1457,377,362,3
1458,168,362,3
1459,396,363,4
1461,172,363,4
1462,405,365,4
1464,118,365,3
1465,189,366,6
1466,198,369,6
1467,321,367,4
1468,366,365,4
1469,418,365,4
1470,444,367,6
1472,134,367,6
1473,177,370,5
1474,223,366,3
1475,230,367,5
1477,262,366,3
1478,388,366,3
1479,392,366,3
1480,141,367,3
1481,162,369,5
1482,280,367,3
1483,87,367,3
1484,184,367,4
1485,215,369,6
1486,235,367,3
1487,246,370,5
1488,346,370,5
1489,150,369,3
1490,224,369,3
1491,286,368,4
1493,419,372,7
1494,87,370,4
1495,105,371,4
1496,156,370,5
1497,379,371,4
1498,395,374,8
1499,235,372,4
1500,298,371,3
1501,331,370,3
1502,406,371,4
1503,121,373,6
1504,144,371,3
1505,148,371,4
1506,169,372,3
1507,191,374,4
1508,277,371,3
1509,293,372,4
1510,356,372,4
1511,360,372,3
1512,225,373,3
1513,229,373,3
1515,113,374,3
1516,128,373,3
1517,306,374,4
1518,331,374,3
1520,89,374,3
1521,261,374,5
1522,268,374,3
1523,364,375,4
1524,373,375,4
1525,408,377,6
1526,102,376,3
1527,161,376,3
1528,167,379,4
1529,185,375,3
1530,210,375,3
1531,241,377,4
1532,355,376,3
1533,377,375,3
1534,430,375,4
1535,98,376,3
1537,286,378,4
1538,321,377,3
1539,340,376,3
1540,369,376,3
1541,435,378,5
1542,138,378,3
1543,142,378,3
1544,175,378,3
1545,259,379,3
1546,277,379,4
1547,295,378,3
1548,327,377,3
1549,427,377,3
1550,189,379,4
1551,216,379,4
1552,225,379,4
1553,236,379,3
1554,346,379,3
1555,355,382,7
1556,424,380,5
1558,132,379,3
1559,159,380,4
1560,207,380,4
1561,246,386,7
1562,304,380,3
1563,342,381,4
1564,416,379,3
1566,87,383,5
1567,107,381,4
1568,118,389,9
1569,270,380,3
1570,299,384,7
1571,315,380,3
1572,350,380,3
1573,78,385,4
1574,171,387,9
1575,178,382,3
1576,197,386,9
1577,431,384,3
1578,231,383,4
1579,332,384,5
1580,378,383,3
1581,385,384,3
1582,405,383,5
1583,417,383,3
1584,94,385,3
1585,143,385,4
1586,157,383,3
1587,211,383,3
1588,265,388,6
1589,310,385,3
1590,315,383,3
1591,153,385,3
1592,370,386,4
1593,411,384,3
1594,422,385,5
1595,105,387,4
1597,284,386,3
1598,345,385,3
1599,379,386,3
1600,131,387,4
1601,210,388,4
1602,257,388,3
1603,321,391,4
1605,219,390,3
1607,425,392,7
1608,274,389,4
1609,283,388,3
1610,310,392,6
1611,344,388,3
1612,352,390,4
1613,183,391,3
1614,363,390,4
1615,377,391,3
1618,371,392,3
1619,411,392,3
1620,152,394,6
1621,342,393,3
1622,79,394,4
1624,204,395,6
1625,225,393,3
1627,271,395,5
1628,363,394,3
1629,102,397,3
1630,166,398,4
1631,215,395,4
1632,279,395,3
1633,302,398,7
1634,333,398,7
1635,350,394,3
1636,378,395,3
1637,87,399,6
1638,161,395,3
1639,192,401,8
1640,241,398,6
1642,283,396,3
1643,327,396,3
1644,371,397,4
1645,410,397,4
1646,351,397,5
1647,356,396,3
1648,384,401,7
1649,433,396,3
1650,96,398,3
1651,112,398,3
1652,157,398,5
1653,225,398,3
1654,261,398,3
1655,267,398,3
1656,286,401,7
1657,294,398,3
1658,344,400,5
1659,406,397,3
1660,420,398,3
1661,130,398,3
1662,219,400,5
1663,313,402,6
1664,321,399,4
1665,395,398,3
1666,229,405,7
1667,178,402,5
1668,273,401,3
1669,420,401,3
1670,105,404,8
1671,115,402,3
1672,130,402,3
1673,135,402,5
1674,142,403,3
1675,360,402,4
1676,123,406,8
1677,173,402,3
1678,260,403,3
1679,319,406,3
1680,372,403,3
1681,405,403,4
1682,411,404,4
1683,427,403,3
1684,254,406,4
1685,299,407,7
1686,159,405,3
1687,172,409,6
1688,277,404,3
1689,394,407,3
1690,419,404,3
1692,92,408,3
1693,188,416,12
1694,202,406,5
1695,241,410,7
1697,379,406,3
1698,66,408,6
1699,86,412,9
1700,399,406,3
1701,140,409,4
1704,287,409,3
1705,369,411,6
1706,410,409,4
1707,146,409,4
1709,335,409,3
1710,347,410,5
1711,55,409,3
1712,119,414,6
1713,149,412,4
1714,204,410,3
1715,214,409,3
1716,351,416,7
1717,361,411,3
1718,399,414,7
1719,376,411,3
1720,75,411,3
1721,111,413,5
1722,134,411,3
1723,259,413,3
1724,303,412,4
1725,310,413,4
1726,389,411,3
1727,67,413,3
1728,71,414,3
1729,157,417,9
1730,165,413,3
1731,216,416,5
1732,75,420,6
1733,102,415,3
1734,130,415,4
1735,138,417,5
1736,199,415,3
1737,203,415,3
1739,286,422,10
1740,335,415,4
1741,386,416,3
1742,227,418,6
1743,91,420,5
1744,168,416,3
1745,264,419,6
1746,328,416,4
1748,306,419,4
1749,315,419,3
1750,368,418,4
1752,105,419,3
1753,237,422,4
1754,109,420,3
1755,134,420,3
1756,296,423,5
1758,64,423,7
1759,142,425,4
1760,201,422,3
1763,308,423,4
1764,403,424,3
1765,48,424,4
1766,130,431,5
1767,241,426,5
1768,377,426,4
1769,229,425,4
1771,354,425,3
1772,369,425,3
1773,395,424,3
1774,110,427,4
1775,200,425,3
1776,256,434,9
1777,386,426,4
1778,117,428,5
1779,156,427,3
1780,183,429,5
1781,268,427,3
1783,213,430,7
1785,102,428,4
1786,123,428,4
1787,171,433,8
1788,230,429,3
1789,244,430,3
1790,392,430,5
1791,47,433,5
1793,222,432,4
1794,272,429,3
1795,299,430,3
1796,325,430,4
1797,341,430,3
1798,360,435,7
1800,204,435,7
1801,295,430,3
1803,102,432,4
1804,269,434,4
1805,333,433,7
1806,149,433,4
1807,198,432,3
1808,378,436,4
1809,385,434,4
1811,242,436,7
1812,325,434,3
1813,230,435,3
1814,282,438,7
1815,310,437,5
1816,349,436,4
1817,369,436,5
1818,197,437,3
1819,214,439,6
1820,300,437,3
1821,328,440,6
1822,190,437,4
1823,294,442,7
1824,344,439,4
1826,219,439,3
1827,322,439,3
1828,337,440,3
1831,183,441,3
1832,245,444,4
1833,386,439,3
1834,164,442,3
1836,205,444,5
1837,269,445,6
1838,366,445,4
1839,216,445,4
1840,306,443,3
1841,354,445,5
1842,229,445,4
1843,240,445,3
1844,279,446,3
1845,341,446,8
1847,318,445,3
1848,325,446,3
1850,260,452,7
1852,234,448,6
1853,199,449,3
1854,300,450,3
1855,327,452,5
1857,249,452,4
1858,296,453,6
1859,275,455,4
1860,291,452,3
1861,309,455,6
1862,332,454,5
1865,228,454,3
1866,288,455,4
1867,14,455,3
1868,302,455,3
1874,280,459,3
1875,302,460,5
1876,321,460,3
1877,331,459,3
1879,256,460,3
1880,274,460,3
1881,288,460,3
1882,316,459,3
1885,249,463,4
1886,262,462,3
