index,x,y,degree
13,334,2,4
14,343,1,4
17,395,2,3
18,401,1,3
30,39,2,3
31,112,3,3
34,231,2,3
35,238,5,7
37,279,5,4
43,543,2,4
44,628,2,4
48,11,6,3
49,33,4,3
50,46,4,3
51,93,3,4
52,99,3,3
56,287,6,5
58,420,4,3
60,464,4,3
61,508,6,3
63,594,3,1
67,795,3,4
69,72,4,4
72,323,5,4
73,342,6,5
74,349,6,4
75,376,4,4
80,117,6,4
81,218,8,4
82,231,6,4
84,400,5,3
85,411,9,5
86,516,6,4
87,635,6,3
88,658,7,4
91,57,7,3
92,182,9,3
93,263,6,3
94,358,7,4
97,531,7,4
99,645,10,6
100,37,8,3
102,244,8,3
104,308,7,3
106,427,8,3
108,605,12,3
109,630,7,3
111,762,10,5
113,110,8,3
116,381,8,3
118,543,9,3
120,691,13,6
121,796,10,5
122,128,9,3
123,176,10,3
124,258,10,3
125,328,11,4
126,370,10,4
127,401,12,3
129,664,10,3
131,792,9,3
134,247,10,3
136,519,13,6
137,614,12,3
138,777,10,3
139,785,12,3
140,38,12,3
143,207,12,3
144,242,13,5
145,277,12,3
146,287,12,3
147,325,11,3
148,344,13,6
149,424,12,3
150,445,14,4
153,532,12,3
156,589,12,3
158,68,12,3
159,550,12,3
161,706,12,4
162,24,14,3
163,201,13,3
164,221,14,4
165,229,15,4
166,290,14,4
167,374,14,3
171,537,13,3
172,593,16,6
174,777,14,3
176,68,17,4
179,318,14,3
180,323,14,3
181,349,15,4
182,380,15,3
183,428,14,3
184,600,16,4
185,766,14,3
186,773,14,3
188,211,17,4
189,367,16,6
190,421,17,4
191,460,19,3
192,633,15,3
193,676,16,3
194,709,16,3
199,160,17,3
200,279,16,3
201,339,19,5
202,490,17,3
203,527,16,3
204,794,17,3
211,291,18,3
212,328,18,3
213,427,17,3
214,551,20,3
215,606,19,6
216,23,19,3
217,51,19,5
218,224,18,4
219,318,24,7
220,400,19,4
221,435,18,4
223,511,19,3
224,519,19,3
225,560,20,3
227,577,20,5
228,720,18,4
229,766,21,6
